genus,species,subspecies,specific_name,generic_name,new_genus,new_species,new_subspecies,new_specific_name,new_generic_name
montastrea,faveolata,,BRAIN,CORAL,montastraea,faveolata,,BRAIN,CORAL
montastrea,faveolata,,MOUNTAINOUS STAR,CORAL,montastraea,faveolata,,MOUNTAINOUS STAR,CORAL
montastrea,franksi,,BOULDER STAR,CORAL,montastraea,franksi,,BOULDER STAR,CORAL
montastrea,sp.,,BRAIN,CORAL,montastraea,sp.,,BRAIN,CORAL
montastrea,valenciennesii,,BRAIN,CORAL,montastraea,valenciennesii,,BRAIN,CORAL
montetaria,annulus,,,,monetaria,annulus,,,
morowe,sp.,,STRIPED,BASS,morone,sp.,,STRIPED,BASS
mulloidichthyes,vanicolensis,,,,mulloidichthys,vanicolensis,,,
myiophonus,sp.,,WHISTLING,THRUSH,myophonus,sp.,,WHISTLING,THRUSH
myliobatoidei,unknown,,,,myliobatoidei,sp.,,,
myoxoxcephalus,polyacanthocephalu,,,,myoxocephalus,polyacanthocephalus,,,
mytilopsis,leucophaeta,,CONRAD'S FALSE,MUSSEL,mytilopsis,leucophaeata,,CONRAD'S FALSE,MUSSEL
necrex,erythrops,,,,neocrex,erythrops,,,
nerhrurus,levis,,,,nephrurus,levis,,,
niritoides,littorina,,,,littorina,neritoides,,,
niviventes,cremoriventer,,,,niviventer,cremoriventer,,,
northarcus,macrorhynchos,,,,notharchus,macrorhynchos,,,
opisthognathus,rosenblatti,,,,opistognathus,rosenblatti,,,
opisthognathus,sp.,,,JAWFISH,opistognathus,sp.,,,JAWFISH
opisthognathus,whitehursti,,,,opistognathus,whitehursti,,,
pelamus,platurus,,YELLOW-BELLIED SEA,SNAKE,pelamis,platurus,,YELLOW-BELLIED SEA,SNAKE
philetarius,socius,,SOCIABLE,WEAVER,philetairus,socius,,SOCIABLE,WEAVER
phoenicercus,sp.,,,COTINGA,phoenicircus,sp.,,,COTINGA
pilaster,ochraceus,,,STARFISH,pisaster,ochraceus,,,STARFISH
pilaster,sp.,,,STARFISH,pisaster,sp.,,,STARFISH
