continent,country_name,iso3c,taxa,year,n_by_country_taxa,n_by_country,centroid_lon,centroid_lat
Europe,Russia,RUS,Reptile,2003,14,747,100,60
Asia,Israel,ISR,Coral,2003,8,180,34.75,31.5
Europe,Macedonia,MKD,Shell,2003,9,52,21.698,41.6
Europe,Slovenia,SVN,Mammal,2003,7,25,14.8166666667,46.1166666667
Africa,Togo,TGO,Insect,2003,3,503,1.081,8.799
Asia,Jordan,JOR,Bird,2003,8,13,36,31
Africa,Cameroon,CMR,Crustacean,2003,1,240,12,6
Americas,Grenada,GRD,Reptile,2003,2,3,-61.678,12.118
Americas,Trinidad & Tobago,TTO,Coral,2003,2,688,-61,11
Oceania,Palau,PLW,Amphibian,2003,1,107,134.5,7.5
Oceania,Palau,PLW,Reptile,2003,4,107,134.5,7.5
Asia,Sri Lanka,LKA,Amphibian,2003,13,3270,81,7
Americas,Brazil,BRA,Insect,2003,47,1367,-53.089,-10.772
Asia,China,CHN,Insect,2003,73,5442,105,35
Americas,St. Kitts & Nevis,KNA,Bird,2003,2,32,-62.75,17.3333333333
Asia,Israel,ISR,Other,2003,1,180,34.75,31.5
Africa,Togo,TGO,Other,2003,3,503,1.081,8.799
Africa,Morocco,MAR,Fish,2003,12,19,-5,32
Asia,Malaysia,MYS,Crustacean,2003,14,2080,112.5,2.5
Europe,Netherlands,NLD,Echinoderms,2003,1,197,5.389,52.077
Europe,Czechia,CZE,Insect,2003,21,229,15.338,49.743
Asia,Jordan,JOR,Mammal,2003,2,13,36,31
Europe,Slovenia,SVN,Fish,2003,6,25,14.8166666667,46.1166666667
Americas,Trinidad & Tobago,TTO,Insect,2003,2,688,-61,11
Europe,Finland,FIN,Bird,2003,4,226,26.272,64.504
Africa,Ghana,GHA,Bird,2003,1,878,-1.207,7.96
Africa,Mauritius,MUS,Fish,2003,1,53,57.583,-20.255
Africa,Mauritius,MUS,Other,2003,1,53,57.583,-20.255
Africa,Zimbabwe,ZWE,Coral,2003,2,4718,29.872,-19
Africa,Egypt,EGY,Amphibian,2003,38,444,30,27
Europe,Norway,NOR,Bird,2003,5,60,8.74,61.152
Asia,Sri Lanka,LKA,Insect,2003,1,3270,81,7
Americas,Suriname,SUR,Mammal,2003,4,588,-55.912,4.127
Africa,Senegal,SEN,Reptile,2003,3,13,-14.881,15.013
Europe,Finland,FIN,Amphibian,2003,1,226,26.272,64.504
