SPEC_CODE,C,O,F,Genus,Species,Subspecies,Common.Specific.1,Common.General.1,Taxa
ANJA,A,CX,CF,HYDROSALAMANDRA,SIBOLDI,,ANDRIAS,JAPONICUS,AMPHIBIAN
ANJA,A,CX,CF,CRYPTOBRANCHUS,JAPONICUS,,ANDRIAS,JAPONICUS,AMPHIBIAN
ANJA,A,CX,CF,ANDRIAS,DAVIDIANUS,JAPONICUS,ANDRIAS,JAPONICUS,AMPHIBIAN
ANJA,A,CX,CF,MEGALOBATRACHUS,JAPONICUS, ,ANDRIAS,JAPONICUS,AMPHIBIAN
ANMT,A,AU,BF,ANSONIA,MINUTA,,TINY STREAM,TOAD,AMPHIBIAN
ANSS,A,AU,BF,ANSONIA,SPINULIFER,,KINA BALU STREAM,TOAD,AMPHIBIAN
APIN,A,AU,HY,ANOTHECA,SPINOSA,,SPINY-HEADED TREE,FROG,AMPHIBIAN
ARTS,A,AU,AR,ARTHROLEPTIS,STENODACTYLUS,,KIHENGO SCREECHING,FROG,AMPHIBIAN
ARXE,A,AU,AR,ARTHROLEPTIS,XENODACTYLUS,,AMANI SCREECHING,FROG,AMPHIBIAN
ASN?,A,AU,BF,ANSONIA,SPECIES,,STREAM,TOAD,AMPHIBIAN
ATE?,A,AU,BF,ATELOPUS,SPECIES, ,STUBFOOT,TOAD,AMPHIBIAN
ATGR,A,AU,LE,ATELOGNATHUS,GRANDISONAE,,PUERTO EDEN,FROG,AMPHIBIAN
ATPE,A,AU,BF,ATELOPUS,PERUENSIS,,PERU STUBFOOT,TOAD,AMPHIBIAN
ATVA,A,AU,BF,ATELOPUS,VARIUS, ,GOLDEN,FROG,AMPHIBIAN
ATVZ,A,AU,BF,ATELOPUS,ZETEKI,,PANAMANIAN GOLDEN,FROG,AMPHIBIAN
ATVZ,A,AU,BF,ATELOPUS,VARIUS,ZETEKI,ATELOPUS,ZETEKI,AMPHIBIAN
ATWA,A,AU,BF,ATELOPUS,WALKERI,,WALKER'S STUBFOOT,TOAD,AMPHIBIAN
BAAR,A,CX,PL,BATRACHOSEPS,ARIDUS, ,DESERT SLENDER,SALAMANDER,AMPHIBIAN
BAAT,A,CX,PL,BATRACHOSEPS,ATTENUATUS,,CALIFORNIA SLENDER,SALAMANDER,AMPHIBIAN
BAMA,A,AU,LE,BATRACHOPHRYNUS,MACROSTOMUS, ,LAKE JUNIN,FROG,AMPHIBIAN
BASI,A,CX,PL,BATRACHOSEPS,SIMATUS, ,KERN CANYON SLENDR,SALAMANDER,AMPHIBIAN
BATM,A,CX,HB,BATRACHUPERUS,MUSTERSI, ,PAGHMAN MOUNTAIN,SALAMANDER,AMPHIBIAN
BATS,A,CX,PL,BATRACHOSEPS,STEBBINSI, ,TEHACHAPI SLENDER,SALAMANDER,AMPHIBIAN
BBNE,A,AU,BF,BUFO,BOREAS,NELSONI,AMARGOSA,TOAD,AMPHIBIAN
BBNE,A,AU,BF,BUFO,NELSONI, ,BUFO,BOREAS,AMPHIBIAN
BBOM,A,AU,DI,BOMBINA,BOMBINA,,FIREBELLY,TOAD,AMPHIBIAN
BCC?,A,AU,BR,BRACHYCEPHALUS,SPECIES,,SADDLEBACK,TOAD,AMPHIBIAN
BCOC,A,AU,BF,BUFO,COCCIFER,,S. ROUNDGLAND,TOAD,AMPHIBIAN
